Date,OPEN,HIGH,LOW,CLOSE,ORG_CLONE,DEL_MOS
1984-06-20,10.23335068,10.24357722,10.226533,10.22994184,30.01,1984Z
1984-06-21,10.20948877,10.21630646,10.15153842,10.16176495,29.81,1984Z
1984-06-22,10.12085882,10.15835611,10.09699691,10.15835611,29.8,1984Z
1984-06-25,10.17540033,10.24357722,10.1651738,10.226533,30.0,1984Z
1984-06-26,10.226533,10.22994184,10.17199149,10.19926224,29.92,1984Z
1984-06-27,10.16858264,10.226533,10.15835611,10.226533,30.0,1984Z
1984-06-28,10.23335068,10.29470988,10.23335068,10.29470988,30.2,1984Z
1984-06-29,10.27084797,10.32879833,10.24357722,10.3117541,30.25,1984Z
1984-07-02,10.32538948,10.3424337,10.25380375,10.26062144,30.1,1984Z
1984-07-03,10.22994184,10.26062144,10.21630646,10.26062144,30.1,1984Z
1984-07-05,10.25039491,10.30493642,10.24357722,10.29811873,30.21,1984Z
1984-07-06,10.29470988,10.32198064,10.28789219,10.32198064,30.28,1984Z
1984-07-09,10.28107451,10.28107451,10.24698606,10.26062144,30.1,1984Z
1984-07-10,10.24357722,10.27766566,10.22994184,10.25721259,30.09,1984Z
1984-07-11,10.25721259,10.26062144,10.22994184,10.25380375,30.08,1984Z
1984-07-12,10.20948877,10.226533,10.17540033,10.19244455,29.9,1984Z
1984-07-13,10.15835611,10.17540033,10.15494726,10.16176495,29.81,1984Z
1984-07-16,10.14131189,10.14131189,10.11744998,10.14131189,29.75,1984Z
1984-07-17,10.13790304,10.15153842,10.12426767,10.14472073,29.76,1984Z
1984-07-18,10.073135,10.07654385,10.00495811,10.00836696,29.36,1984Z
1984-07-19,10.00154927,10.00495811,9.88564856,9.93337238,29.14,1984Z
1984-07-20,9.87542203,9.87542203,9.75611248,9.81747168,28.8,1984Z
1984-07-23,9.6811179,9.76293017,9.67770906,9.75952132,28.63,1984Z
1984-07-24,9.86860434,9.88564856,9.6811179,9.69134444,28.43,1984Z
1984-07-25,9.58226142,9.66066484,9.56862604,9.66066484,28.34,1984Z
1984-07-26,9.62998524,9.64702946,9.59930564,9.60953217,28.19,1984Z
1984-07-27,9.58567026,9.65384715,9.57885257,9.59930564,28.16,1984Z
1984-07-30,9.55839951,9.59930564,9.55158182,9.58907911,28.13,1984Z
1984-07-31,9.63339408,9.64021177,9.54817297,9.60953217,28.19,1984Z
1984-08-01,9.65725599,9.79020092,9.6504383,9.78338323,28.7,1984Z
1984-08-02,9.8038363,10.12426767,9.8038363,10.09017922,29.6,1984Z
1984-08-03,9.97768736,10.01859349,9.88564856,9.95382545,29.2,1984Z
1984-08-06,9.91973701,10.09017922,9.90269278,10.08336153,29.58,1984Z
1984-08-07,10.18221802,10.19244455,10.06631731,10.13108535,29.72,1984Z
1984-08-08,10.11063229,10.17540033,10.10722344,10.1651738,29.82,1984Z
1984-08-09,10.12426767,10.19244455,10.12085882,10.15153842,29.78,1984Z
1984-08-10,10.14812958,10.16176495,10.03222887,10.04927309,29.48,1984Z
1984-08-13,10.02541118,10.08336153,9.99132274,10.073135,29.55,1984Z
1984-08-14,10.12767651,10.14131189,10.09017922,10.12426767,29.7,1984Z
1984-08-15,10.11404113,10.15835611,10.09017922,10.10722344,29.65,1984Z
